,DISTRICTNO,dvs,rvs,margin,winner,margin_text
0,1,0.62,0.374,0.247,d,D+25
1,2,0.668,0.296,0.372,d,D+37
2,3,0.692,0.292,0.4,d,D+40
3,4,0.568,0.42,0.148,d,D+15
4,5,0.609,0.371,0.237,d,D+24
5,6,0.669,0.293,0.376,d,D+38
6,7,0.707,0.277,0.43,d,D+43
7,8,0.674,0.317,0.357,d,D+36
8,9,0.466,0.527,-0.06,r,R+6
9,10,0.591,0.398,0.193,d,D+19
10,11,0.536,0.451,0.085,d,D+8
11,12,0.477,0.522,-0.046,r,R+5
12,13,0.54,0.451,0.089,d,D+9
13,14,0.519,0.456,0.063,d,D+6
14,15,0.712,0.262,0.45,d,D+45
15,16,0.373,0.599,-0.227,r,R+23
16,17,0.364,0.626,-0.262,r,R+26
17,18,0.348,0.619,-0.272,r,R+27
18,19,0.52,0.437,0.083,d,D+8
19,20,0.378,0.602,-0.224,r,R+22
20,21,0.558,0.431,0.127,d,D+13
21,22,0.362,0.62,-0.258,r,R+26
22,23,0.392,0.595,-0.203,r,R+20
23,24,0.332,0.656,-0.324,r,R+32
24,25,0.368,0.632,-0.264,r,R+26
25,26,0.413,0.585,-0.172,r,R+17
26,27,0.641,0.352,0.288,d,D+29
27,28,0.548,0.433,0.115,d,D+12
28,29,0.587,0.386,0.201,d,D+20
29,30,0.472,0.501,-0.029,r,R+3
30,31,0.349,0.626,-0.277,r,R+28
31,32,0.473,0.502,-0.029,r,R+3
32,33,0.333,0.64,-0.306,r,R+31
33,34,0.371,0.608,-0.237,r,R+24
34,35,0.5,0.5,-0.001,r,R+0
35,36,0.341,0.645,-0.304,r,R+30
36,37,0.413,0.584,-0.171,r,R+17
37,38,0.43,0.553,-0.124,r,R+12
